"Timestamp","Measure"
"1552898573870","1.6177"
"1552898573900","1.2707"
"1552898573940",""
"1552898573980","1.1005"
"1552898574020",""
"1552898574090",""
"1552898574170","0.8582"
"1552898574190",""
"1552898574240",""
"1552898574290",""
"1552898574300","1.4076"
"1552898574350",""
"1552898574380","0.4575"
"1552898574420","0.8623"
"1552898574480","1.1141"
"1552898574500","0.987"
"1552898574540",""
"1552898574590",""
"1552898574650","1.3425"
"1552898574690",""
"1552898574700",""
"1552898574760","0.7089"
"1552898574800",""
"1552898574840","0.8137"
"1552898574890","0.7824"
"1552898574920","0.4945"
"1552898574970",""
"1552898574990","1.3030000000000002"
"1552898575040","0.998"
"1552898575080",""
"1552898575120","0.6663"
"1552898575140",""
"1552898575200",""
"1552898575250","1.2287"
"1552898575260","0.7381"
"1552898575300",""
"1552898575370",""
"1552898575390","1.2275"
"1552898575430","1.2104"
"1552898575470","0.5025"
"1552898575500",""
"1552898575560","0.7178"
"1552898575580","0.6759"
"1552898575640","1.2228"
"1552898575680",""
"1552898575730",""
"1552898575760",""
"1552898575810",""
"1552898575820",""
"1552898575860","0.491"
"1552898575920",""
"1552898575940",""
"1552898575980","0.8769"
"1552898576050","1.6936"
"1552898576060","0.7699"
"1552898576130","1.1701"
"1552898576170",""
"1552898576210","0.6679"
"1552898576240",""
"1552898576280",""
"1552898576320","0.7035"
"1552898576370","0.6194"
"1552898576410",""
"1552898576440",""
"1552898576460","2.3425"
"1552898576500",""
"1552898576540","0.7512"
"1552898576580",""
"1552898576640",""
"1552898576720",""
"1552898576760",""
"1552898576780","0.8813"
"1552898576820","1.5203"
"1552898576860","0.7962"
"1552898576910",""
"1552898576950","0.7199"
"1552898577000",""
"1552898577020","1.0209"
"1552898577070","1.6103"
"1552898577120","0.9112"
"1552898577140",""
"1552898577190",""
"1552898577220",""
"1552898577270","0.9812"
"1552898577330","1.0617"
"1552898577360",""
"1552898577380","1.0699"
"1552898577430",""
"1552898577470",""
"1552898577500","0.9865"
"1552898577560",""
"1552898577590",""
"1552898577650","0.9632"
"1552898577680",""
"1552898577700","0.5648"
"1552898577760",""
"1552898577780","1.4089"
"1552898577820",""
"1552898577870","0.7942"
"1552898577900","1.0497"
"1552898577940","1.3011"
"1552898578010","0.8115"
"1552898578050","0.7761"
"1552898578090","0.9176"
"1552898578100",""
"1552898578140",""
"1552898578180",""
"1552898578250",""
"1552898578270","1.6417"
"1552898578320",""
"1552898578360","2.1223"
"1552898578400","0.5311"
"1552898578430",""
"1552898578480","0.8627"
"1552898578520",""
"1552898578560","0.7774"
"1552898578580","0.9155"
"1552898578640","1.0289"
"1552898578700",""
"1552898578750",""
"1552898578810",""
"1552898578820","1.0428"
"1552898578890","0.5848"
"1552898578920",""
"1552898578960","1.1937"
"1552898579010","0.8892"
"1552898579040","1.5644"
"1552898579070","0.6742"
"1552898579130","1.1149"
"1552898579160",""
"1552898579180",""
"1552898579220","0.6507"
"1552898579270","1.0578"
"1552898579300",""
"1552898579390",""
"1552898579440","1.0079"
"1552898579490","0.4451"
"1552898579510","1.0463"
"1552898579560",""
"1552898579600","0.7125"
"1552898579630",""
"1552898579670",""
"1552898579700",""
"1552898579750","1.7968"
"1552898579810","0.8195"
"1552898579850",""
"1552898579890","1.0794"
"1552898579930",""
"1552898579960",""
